County Name/State Abbreviation,Year,total,number_employed,number_unemployed,unemployed_rate
"Carbon County, MT",2008,"5,329","5,122",207,3.9
"Carter County, MT",2008,757,734,23,3.0
"Cascade County, MT",2008,"40,506","38,806","1,700",4.2
"Chouteau County, MT",2008,"2,667","2,580",87,3.3
"Custer County, MT",2008,"5,911","5,685",226,3.8
"Daniels County, MT",2008,807,779,28,3.5
"Dawson County, MT",2008,"4,411","4,264",147,3.3
"Deer Lodge County, MT",2008,"3,850","3,618",232,6.0
"Fallon County, MT",2008,"1,831","1,788",43,2.3
"Fergus County, MT",2008,"5,966","5,709",257,4.3
"Flathead County, MT",2008,"46,348","43,536","2,812",6.1
"Gallatin County, MT",2008,"51,036","49,095","1,941",3.8
"Garfield County, MT",2008,660,639,21,3.2
"Glacier County, MT",2008,"5,841","5,357",484,8.3
"Golden Valley County, MT",2008,581,555,26,4.5
"Granite County, MT",2008,"1,292","1,214",78,6.0
"Hill County, MT",2008,"8,252","7,875",377,4.6
"Jefferson County, MT",2008,"6,011","5,761",250,4.2
"Judith Basin County, MT",2008,"1,111","1,067",44,4.0
"Lake County, MT",2008,"11,673","10,878",795,6.8
"Lewis and Clark County, MT",2008,"34,208","32,926","1,282",3.7
"Liberty County, MT",2008,779,749,30,3.9
"Lincoln County, MT",2008,"7,822","7,054",768,9.8
"McCone County, MT",2008,"1,036","1,010",26,2.5
"Madison County, MT",2008,"4,564","4,390",174,3.8
"Meagher County, MT",2008,891,835,56,6.3
"Mineral County, MT",2008,"1,895","1,772",123,6.5
"Missoula County, MT",2008,"59,229","56,555","2,674",4.5
"Musselshell County, MT",2008,"2,159","2,044",115,5.3
"Park County, MT",2008,"9,050","8,619",431,4.8
"Petroleum County, MT",2008,250,237,13,5.2
"Phillips County, MT",2008,"2,192","2,090",102,4.7
"Pondera County, MT",2008,"2,631","2,500",131,5.0
"Powder River County, MT",2008,953,922,31,3.3
"Powell County, MT",2008,"2,756","2,564",192,7.0
"Prairie County, MT",2008,597,574,23,3.9
"Ravalli County, MT",2008,"18,804","17,690","1,114",5.9
"Richland County, MT",2008,"5,589","5,428",161,2.9
"Roosevelt County, MT",2008,"3,977","3,712",265,6.7
"Rosebud County, MT",2008,"4,050","3,818",232,5.7
"Sanders County, MT",2008,"4,671","4,229",442,9.5
"Sheridan County, MT",2008,"1,849","1,796",53,2.9
"Silver Bow County, MT",2008,"17,876","17,095",781,4.4
"Stillwater County, MT",2008,"4,627","4,442",185,4.0
"Sweet Grass County, MT",2008,"2,890","2,820",70,2.4
"Teton County, MT",2008,"3,123","3,003",120,3.8
"Toole County, MT",2008,"2,611","2,534",77,2.9
"Treasure County, MT",2008,408,392,16,3.9
"Valley County, MT",2008,"3,666","3,524",142,3.9
"Wheatland County, MT",2008,"1,101","1,060",41,3.7
"Wibaux County, MT",2008,535,518,17,3.2
"Yellowstone County, MT",2008,"82,823","79,999","2,824",3.4
"Adams County, NE",2008,"17,773","17,234",539,3.0
"Antelope County, NE",2008,"3,662","3,554",108,2.9
"Arthur County, NE",2008,243,234,9,3.7
"Banner County, NE",2008,403,393,10,2.5
"Blaine County, NE",2008,245,233,12,4.9
"Boone County, NE",2008,"3,267","3,183",84,2.6
"Box Butte County, NE",2008,"5,650","5,442",208,3.7
"Boyd County, NE",2008,"1,113","1,078",35,3.1
"Brown County, NE",2008,"1,854","1,806",48,2.6
"Buffalo County, NE",2008,"27,979","27,289",690,2.5
"Burt County, NE",2008,"3,976","3,812",164,4.1
"Butler County, NE",2008,"4,930","4,789",141,2.9
"Cass County, NE",2008,"14,038","13,525",513,3.7
"Cedar County, NE",2008,"4,846","4,726",120,2.5
"Chase County, NE",2008,"1,998","1,946",52,2.6
"Cherry County, NE",2008,"3,415","3,336",79,2.3
"Cheyenne County, NE",2008,"5,257","5,110",147,2.8
"Clay County, NE",2008,"3,130","3,031",99,3.2
"Colfax County, NE",2008,"5,649","5,502",147,2.6
"Cuming County, NE",2008,"4,955","4,813",142,2.9
"Custer County, NE",2008,"6,083","5,938",145,2.4
"Dakota County, NE",2008,"11,041","10,588",453,4.1
"Dawes County, NE",2008,"4,844","4,704",140,2.9
"Dawson County, NE",2008,"12,506","12,009",497,4.0
"Deuel County, NE",2008,"1,059","1,028",31,2.9
"Dixon County, NE",2008,"3,393","3,287",106,3.1
"Dodge County, NE",2008,"20,076","19,384",692,3.4
"Douglas County, NE",2008,"275,169","265,145","10,024",3.6
"Dundy County, NE",2008,"1,040","1,010",30,2.9
"Fillmore County, NE",2008,"3,192","3,099",93,2.9
"Franklin County, NE",2008,"1,784","1,731",53,3.0
"Frontier County, NE",2008,"1,635","1,590",45,2.8
"Furnas County, NE",2008,"2,526","2,453",73,2.9
"Gage County, NE",2008,"12,275","11,708",567,4.6
"Garden County, NE",2008,952,924,28,2.9
"Garfield County, NE",2008,"1,058","1,031",27,2.6
"Gosper County, NE",2008,"1,026",993,33,3.2
"Grant County, NE",2008,374,363,11,2.9
"Greeley County, NE",2008,"1,308","1,270",38,2.9
"Hall County, NE",2008,"31,855","30,877",978,3.1
"Hamilton County, NE",2008,"5,905","5,763",142,2.4
"Harlan County, NE",2008,"1,849","1,793",56,3.0
"Hayes County, NE",2008,479,462,17,3.5
"Hitchcock County, NE",2008,"1,478","1,428",50,3.4
"Holt County, NE",2008,"6,159","5,996",163,2.6
"Hooker County, NE",2008,416,398,18,4.3
"Howard County, NE",2008,"3,752","3,639",113,3.0
"Jefferson County, NE",2008,"4,336","4,171",165,3.8
"Johnson County, NE",2008,"2,949","2,857",92,3.1
"Kearney County, NE",2008,"3,707","3,607",100,2.7
"Keith County, NE",2008,"4,568","4,439",129,2.8
"Keya Paha County, NE",2008,377,359,18,4.8
"Kimball County, NE",2008,"1,948","1,883",65,3.3
"Knox County, NE",2008,"4,683","4,537",146,3.1
"Lancaster County, NE",2008,"160,419","155,582","4,837",3.0
"Lincoln County, NE",2008,"22,060","21,418",642,2.9
"Logan County, NE",2008,466,456,10,2.1
"Loup County, NE",2008,340,327,13,3.8
"McPherson County, NE",2008,311,304,7,2.3
"Madison County, NE",2008,"18,923","18,303",620,3.3
"Merrick County, NE",2008,"4,238","4,108",130,3.1
"Morrill County, NE",2008,"2,892","2,803",89,3.1
"Nance County, NE",2008,"2,063","2,003",60,2.9
"Nemaha County, NE",2008,"3,426","3,269",157,4.6
"Nuckolls County, NE",2008,"2,262","2,197",65,2.9
"Otoe County, NE",2008,"9,103","8,787",316,3.5
"Pawnee County, NE",2008,"1,572","1,520",52,3.3
"Perkins County, NE",2008,"1,683","1,643",40,2.4
"Phelps County, NE",2008,"5,170","5,047",123,2.4
"Pierce County, NE",2008,"3,954","3,838",116,2.9
"Platte County, NE",2008,"18,465","17,927",538,2.9
"Polk County, NE",2008,"3,045","2,960",85,2.8
"Red Willow County, NE",2008,"6,042","5,870",172,2.8
"Richardson County, NE",2008,"4,232","4,048",184,4.3
"Rock County, NE",2008,850,826,24,2.8
"Saline County, NE",2008,"8,432","8,148",284,3.4
"Sarpy County, NE",2008,"79,532","76,999","2,533",3.2
"Saunders County, NE",2008,"11,007","10,617",390,3.5
"Scotts Bluff County, NE",2008,"19,594","18,879",715,3.6
"Seward County, NE",2008,"9,101","8,809",292,3.2
"Sheridan County, NE",2008,"3,073","2,989",84,2.7
"Sherman County, NE",2008,"1,943","1,890",53,2.7
"Sioux County, NE",2008,719,695,24,3.3
"Stanton County, NE",2008,"3,526","3,430",96,2.7
"Thayer County, NE",2008,"2,830","2,740",90,3.2
"Thomas County, NE",2008,374,360,14,3.7
"Thurston County, NE",2008,"3,004","2,804",200,6.7
"Valley County, NE",2008,"2,586","2,515",71,2.7
"Washington County, NE",2008,"11,296","10,947",349,3.1
"Wayne County, NE",2008,"5,220","5,072",148,2.8
"Webster County, NE",2008,"1,797","1,737",60,3.3
"Wheeler County, NE",2008,488,477,11,2.3
"York County, NE",2008,"7,076","6,817",259,3.7
"Churchill County, NV",2008,"13,332","12,535",797,6.0
"Clark County, NV",2008,"968,528","904,084","64,444",6.7
"Douglas County, NV",2008,"22,347","20,694","1,653",7.4
"Elko County, NV",2008,"26,423","25,298","1,125",4.3
"Esmeralda County, NV",2008,481,457,24,5.0
"Eureka County, NV",2008,843,800,43,5.1
"Humboldt County, NV",2008,"8,060","7,662",398,4.9
"Lander County, NV",2008,"3,601","3,445",156,4.3
"Lincoln County, NV",2008,"1,812","1,711",101,5.6
"Lyon County, NV",2008,"22,354","20,165","2,189",9.8
"Mineral County, NV",2008,"2,365","2,188",177,7.5
"Nye County, NV",2008,"17,411","15,714","1,697",9.7
"Pershing County, NV",2008,"2,490","2,316",174,7.0
"Storey County, NV",2008,"2,433","2,265",168,6.9
"Washoe County, NV",2008,"221,666","206,604","15,062",6.8
"White Pine County, NV",2008,"4,736","4,513",223,4.7
"Carson City, NV",2008,"28,380","26,366","2,014",7.1
"Belknap County, NH",2008,"32,641","31,300","1,341",4.1
"Carroll County, NH",2008,"25,904","24,968",936,3.6
"Cheshire County, NH",2008,"42,146","40,594","1,552",3.7
"Coos County, NH",2008,"16,503","15,644",859,5.2
"Grafton County, NH",2008,"48,784","47,236","1,548",3.2
"Hillsborough County, NH",2008,"228,986","220,078","8,908",3.9
"Merrimack County, NH",2008,"81,092","78,117","2,975",3.7
"Rockingham County, NH",2008,"174,258","166,799","7,459",4.3
"Strafford County, NH",2008,"69,663","67,117","2,546",3.7
"Sullivan County, NH",2008,"22,745","21,968",777,3.4
"Atlantic County, NJ",2008,"135,696","126,229","9,467",7.0
"Bergen County, NJ",2008,"477,932","456,482","21,450",4.5
"Burlington County, NJ",2008,"239,339","227,311","12,028",5.0
"Camden County, NJ",2008,"267,118","250,996","16,122",6.0
"Cape May County, NJ",2008,"56,560","52,000","4,560",8.1
"Cumberland County, NJ",2008,"69,178","63,622","5,556",8.0
"Essex County, NJ",2008,"365,487","341,433","24,054",6.6
"Gloucester County, NJ",2008,"156,506","148,006","8,500",5.4
"Hudson County, NJ",2008,"293,991","275,326","18,665",6.3
"Hunterdon County, NJ",2008,"72,911","70,146","2,765",3.8
"Mercer County, NJ",2008,"201,674","191,893","9,781",4.8
"Middlesex County, NJ",2008,"425,309","403,942","21,367",5.0
"Monmouth County, NJ",2008,"334,874","318,564","16,310",4.9
"Morris County, NJ",2008,"275,214","264,203","11,011",4.0
"Ocean County, NJ",2008,"261,667","246,089","15,578",6.0
"Passaic County, NJ",2008,"240,490","224,166","16,324",6.8
"Salem County, NJ",2008,"31,863","29,886","1,977",6.2
"Somerset County, NJ",2008,"181,457","174,028","7,429",4.1
"Sussex County, NJ",2008,"85,164","80,869","4,295",5.0
"Union County, NJ",2008,"271,173","255,587","15,586",5.7
"Warren County, NJ",2008,"59,149","56,171","2,978",5.0
"Bernalillo County, NM",2008,"318,077","304,023","14,054",4.4
"Catron County, NM",2008,"1,609","1,524",85,5.3
"Chaves County, NM",2008,"27,733","26,532","1,201",4.3
"Cibola County, NM",2008,"12,366","11,783",583,4.7
"Colfax County, NM",2008,"6,827","6,527",300,4.4
"Curry County, NM",2008,"21,455","20,775",680,3.2
"De Baca County, NM",2008,888,854,34,3.8
"Dona Ana County, NM",2008,"90,338","86,026","4,312",4.8
"Eddy County, NM",2008,"27,813","26,960",853,3.1
"Grant County, NM",2008,"12,627","11,996",631,5.0
"Guadalupe County, NM",2008,"1,765","1,656",109,6.2
"Harding County, NM",2008,430,418,12,2.8
"Hidalgo County, NM",2008,"2,821","2,703",118,4.2
"Lea County, NM",2008,"29,895","29,036",859,2.9
"Lincoln County, NM",2008,"11,322","10,919",403,3.6
"Los Alamos County, NM",2008,"10,137","9,829",308,3.0
"Luna County, NM",2008,"12,881","11,342","1,539",11.9
"McKinley County, NM",2008,"27,095","25,582","1,513",5.6
"Mora County, NM",2008,"2,063","1,884",179,8.7
"Otero County, NM",2008,"26,424","25,258","1,166",4.4
"Quay County, NM",2008,"4,146","3,945",201,4.8
"Rio Arriba County, NM",2008,"21,052","19,903","1,149",5.5
"Roosevelt County, NM",2008,"9,739","9,436",303,3.1
"Sandoval County, NM",2008,"56,637","53,654","2,983",5.3
"San Juan County, NM",2008,"58,059","55,752","2,307",4.0
"San Miguel County, NM",2008,"13,562","12,886",676,5.0
"Santa Fe County, NM",2008,"79,369","76,359","3,010",3.8
"Sierra County, NM",2008,"6,011","5,766",245,4.1
"Socorro County, NM",2008,"9,677","9,330",347,3.6
"Taos County, NM",2008,"17,632","16,650",982,5.6
"Torrance County, NM",2008,"7,018","6,624",394,5.6
"Union County, NM",2008,"2,195","2,136",59,2.7
"Valencia County, NM",2008,"31,603","29,976","1,627",5.1
"Albany County, NY",2008,"161,231","153,530","7,701",4.8
"Allegany County, NY",2008,"24,168","22,642","1,526",6.3
"Bronx County, NY",2008,"522,684","484,471","38,213",7.3
"Broome County, NY",2008,"98,362","92,957","5,405",5.5
"Cattaraugus County, NY",2008,"41,848","39,335","2,513",6.0
"Cayuga County, NY",2008,"41,889","39,596","2,293",5.5
"Chautauqua County, NY",2008,"67,462","63,775","3,687",5.5
"Chemung County, NY",2008,"41,543","39,260","2,283",5.5
"Chenango County, NY",2008,"24,719","23,171","1,548",6.3
"Clinton County, NY",2008,"40,062","37,476","2,586",6.5
"Columbia County, NY",2008,"31,963","30,442","1,521",4.8
"Cortland County, NY",2008,"24,215","22,688","1,527",6.3
"Delaware County, NY",2008,"22,962","21,611","1,351",5.9
"Dutchess County, NY",2008,"146,997","139,578","7,419",5.0
"Erie County, NY",2008,"474,501","447,802","26,699",5.6
"Essex County, NY",2008,"18,638","17,411","1,227",6.6
"Franklin County, NY",2008,"23,099","21,526","1,573",6.8
"Fulton County, NY",2008,"27,477","25,643","1,834",6.7
"Genesee County, NY",2008,"33,610","31,749","1,861",5.5
"Greene County, NY",2008,"24,432","23,017","1,415",5.8
"Hamilton County, NY",2008,"3,081","2,891",190,6.2
"Herkimer County, NY",2008,"31,373","29,484","1,889",6.0
"Jefferson County, NY",2008,"49,367","46,046","3,321",6.7
"Kings County, NY",2008,"1,104,615","1,040,280","64,335",5.8
"Lewis County, NY",2008,"12,661","11,829",832,6.6
"Livingston County, NY",2008,"32,594","30,682","1,912",5.9
"Madison County, NY",2008,"36,580","34,509","2,071",5.7
"Monroe County, NY",2008,"378,857","358,435","20,422",5.4
"Montgomery County, NY",2008,"24,856","23,122","1,734",7.0
"Nassau County, NY",2008,"702,195","669,410","32,785",4.7
"New York County, NY",2008,"930,606","886,447","44,159",4.7
"Niagara County, NY",2008,"114,230","106,672","7,558",6.6
"Oneida County, NY",2008,"111,524","105,600","5,924",5.3
"Onondaga County, NY",2008,"236,088","224,023","12,065",5.1
"Ontario County, NY",2008,"57,102","54,197","2,905",5.1
"Orange County, NY",2008,"181,906","172,269","9,637",5.3
"Orleans County, NY",2008,"19,610","18,266","1,344",6.9
"Oswego County, NY",2008,"60,637","56,476","4,161",6.9
"Otsego County, NY",2008,"31,771","29,989","1,782",5.6
"Putnam County, NY",2008,"56,187","53,733","2,454",4.4
"Queens County, NY",2008,"1,119,231","1,064,887","54,344",4.9
"Rensselaer County, NY",2008,"84,685","80,380","4,305",5.1
"Richmond County, NY",2008,"243,874","231,868","12,006",4.9
"Rockland County, NY",2008,"156,529","149,191","7,338",4.7
"St. Lawrence County, NY",2008,"50,372","46,853","3,519",7.0
"Saratoga County, NY",2008,"122,444","116,951","5,493",4.5
"Schenectady County, NY",2008,"77,327","73,457","3,870",5.0
"Schoharie County, NY",2008,"15,976","14,897","1,079",6.8
"Schuyler County, NY",2008,"10,177","9,595",582,5.7
"Seneca County, NY",2008,"17,220","16,283",937,5.4
"Steuben County, NY",2008,"46,012","43,255","2,757",6.0
"Suffolk County, NY",2008,"801,684","762,063","39,621",4.9
"Sullivan County, NY",2008,"35,729","33,436","2,293",6.4
"Tioga County, NY",2008,"26,422","25,045","1,377",5.2
"Tompkins County, NY",2008,"56,347","54,049","2,298",4.1
"Ulster County, NY",2008,"90,905","86,019","4,886",5.4
"Warren County, NY",2008,"36,163","34,122","2,041",5.6
"Washington County, NY",2008,"32,377","30,647","1,730",5.3
"Wayne County, NY",2008,"48,286","45,500","2,786",5.8
"Westchester County, NY",2008,"496,884","473,431","23,453",4.7
"Wyoming County, NY",2008,"21,434","20,120","1,314",6.1
"Yates County, NY",2008,"13,269","12,629",640,4.8
"Alamance County, NC",2008,"71,337","66,731","4,606",6.5
"Alexander County, NC",2008,"18,256","16,968","1,288",7.1
"Alleghany County, NC",2008,"4,559","4,216",343,7.5
"Anson County, NC",2008,"10,277","9,360",917,8.9
"Ashe County, NC",2008,"12,576","11,724",852,6.8
"Avery County, NC",2008,"8,844","8,335",509,5.8
"Beaufort County, NC",2008,"20,792","19,293","1,499",7.2
"Bertie County, NC",2008,"8,713","8,045",668,7.7
"Bladen County, NC",2008,"15,481","14,274","1,207",7.8
"Brunswick County, NC",2008,"50,035","46,833","3,202",6.4
"Buncombe County, NC",2008,"122,514","116,720","5,794",4.7
"Burke County, NC",2008,"40,382","37,078","3,304",8.2
"Cabarrus County, NC",2008,"85,094","80,188","4,906",5.8
"Caldwell County, NC",2008,"38,242","35,253","2,989",7.8
"Camden County, NC",2008,"4,550","4,302",248,5.5
"Carteret County, NC",2008,"32,803","31,038","1,765",5.4
"Caswell County, NC",2008,"10,772","9,900",872,8.1
"Catawba County, NC",2008,"76,894","71,388","5,506",7.2
"Chatham County, NC",2008,"33,835","32,152","1,683",5.0
"Cherokee County, NC",2008,"10,000","9,078",922,9.2
"Chowan County, NC",2008,"6,710","6,124",586,8.7
"Clay County, NC",2008,"4,669","4,366",303,6.5
"Cleveland County, NC",2008,"48,957","44,901","4,056",8.3
"Columbus County, NC",2008,"24,206","22,321","1,885",7.8
"Craven County, NC",2008,"42,183","39,656","2,527",6.0
"Cumberland County, NC",2008,"133,505","125,221","8,284",6.2
"Currituck County, NC",2008,"12,814","12,252",562,4.4
"Dare County, NC",2008,"22,029","20,624","1,405",6.4
"Davidson County, NC",2008,"77,894","72,322","5,572",7.2
"Davie County, NC",2008,"20,999","19,717","1,282",6.1
"Duplin County, NC",2008,"24,078","22,671","1,407",5.8
"Durham County, NC",2008,"141,595","134,818","6,777",4.8
"Edgecombe County, NC",2008,"24,568","22,051","2,517",10.2
"Forsyth County, NC",2008,"177,332","167,222","10,110",5.7
"Franklin County, NC",2008,"27,805","26,054","1,751",6.3
"Gaston County, NC",2008,"99,858","92,242","7,616",7.6
"Gates County, NC",2008,"4,864","4,603",261,5.4
"Graham County, NC",2008,"4,383","3,912",471,10.7
"Granville County, NC",2008,"25,495","23,771","1,724",6.8
"Greene County, NC",2008,"9,284","8,666",618,6.7
"Guilford County, NC",2008,"251,101","235,886","15,215",6.1
"Halifax County, NC",2008,"23,860","21,703","2,157",9.0
"Harnett County, NC",2008,"47,998","44,800","3,198",6.7
"Haywood County, NC",2008,"27,866","26,297","1,569",5.6
"Henderson County, NC",2008,"49,639","47,277","2,362",4.8
"Hertford County, NC",2008,"9,832","9,175",657,6.7
"Hoke County, NC",2008,"19,741","18,606","1,135",5.7
"Hyde County, NC",2008,"2,677","2,492",185,6.9
"Iredell County, NC",2008,"79,017","73,930","5,087",6.4
"Jackson County, NC",2008,"20,995","19,932","1,063",5.1
"Johnston County, NC",2008,"77,950","73,481","4,469",5.7
"Jones County, NC",2008,"4,707","4,402",305,6.5
"Lee County, NC",2008,"25,858","23,892","1,966",7.6
"Lenoir County, NC",2008,"27,072","25,104","1,968",7.3
"Lincoln County, NC",2008,"39,435","36,558","2,877",7.3
"McDowell County, NC",2008,"20,846","19,128","1,718",8.2
"Macon County, NC",2008,"16,316","15,343",973,6.0
"Madison County, NC",2008,"10,038","9,465",573,5.7
"Martin County, NC",2008,"11,917","11,140",777,6.5
"Mecklenburg County, NC",2008,"468,005","439,759","28,246",6.0
"Mitchell County, NC",2008,"7,103","6,526",577,8.1
"Montgomery County, NC",2008,"11,330","10,394",936,8.3
"Moore County, NC",2008,"36,450","34,194","2,256",6.2
"Nash County, NC",2008,"46,998","43,480","3,518",7.5
"New Hanover County, NC",2008,"105,650","100,138","5,512",5.2
"Northampton County, NC",2008,"8,688","8,010",678,7.8
"Onslow County, NC",2008,"63,145","59,531","3,614",5.7
"Orange County, NC",2008,"69,864","67,031","2,833",4.1
"Pamlico County, NC",2008,"5,425","5,098",327,6.0
"Pasquotank County, NC",2008,"17,994","16,749","1,245",6.9
"Pender County, NC",2008,"24,432","22,941","1,491",6.1
"Perquimans County, NC",2008,"5,311","4,948",363,6.8
"Person County, NC",2008,"19,060","17,668","1,392",7.3
"Pitt County, NC",2008,"81,186","75,886","5,300",6.5
"Polk County, NC",2008,"9,556","9,091",465,4.9
"Randolph County, NC",2008,"75,218","70,405","4,813",6.4
"Richmond County, NC",2008,"20,163","18,284","1,879",9.3
"Robeson County, NC",2008,"56,062","51,568","4,494",8.0
"Rockingham County, NC",2008,"44,609","41,247","3,362",7.5
"Rowan County, NC",2008,"70,124","65,323","4,801",6.8
"Rutherford County, NC",2008,"29,731","27,322","2,409",8.1
"Sampson County, NC",2008,"32,433","30,680","1,753",5.4
"Scotland County, NC",2008,"13,928","12,388","1,540",11.1
"Stanly County, NC",2008,"30,152","28,172","1,980",6.6
"Stokes County, NC",2008,"24,137","22,717","1,420",5.9
"Surry County, NC",2008,"34,217","31,531","2,686",7.8
"Swain County, NC",2008,"6,945","6,400",545,7.8
"Transylvania County, NC",2008,"13,370","12,680",690,5.2
"Tyrrell County, NC",2008,"2,209","2,052",157,7.1
"Union County, NC",2008,"95,785","90,480","5,305",5.5
"Vance County, NC",2008,"19,572","17,825","1,747",8.9
"Wake County, NC",2008,"456,974","435,758","21,216",4.6
"Warren County, NC",2008,"7,785","7,125",660,8.5
"Washington County, NC",2008,"6,159","5,684",475,7.7
"Watauga County, NC",2008,"23,041","21,942","1,099",4.8
"Wayne County, NC",2008,"53,627","50,512","3,115",5.8
"Wilkes County, NC",2008,"30,216","27,927","2,289",7.6
"Wilson County, NC",2008,"40,035","36,913","3,122",7.8
"Yadkin County, NC",2008,"19,368","18,269","1,099",5.7
"Yancey County, NC",2008,"7,778","7,182",596,7.7
"Adams County, ND",2008,"1,236","1,207",29,2.3
"Barnes County, ND",2008,"6,162","5,981",181,2.9
"Benson County, ND",2008,"2,593","2,426",167,6.4
"Billings County, ND",2008,515,504,11,2.1
"Bottineau County, ND",2008,"3,538","3,423",115,3.3
"Bowman County, ND",2008,"1,705","1,669",36,2.1
"Burke County, ND",2008,"1,040","1,015",25,2.4
"Burleigh County, ND",2008,"46,564","45,269","1,295",2.8
"Cass County, ND",2008,"87,332","84,961","2,371",2.7
"Cavalier County, ND",2008,"2,001","1,939",62,3.1
"Dickey County, ND",2008,"2,866","2,779",87,3.0
"Divide County, ND",2008,872,844,28,3.2
"Dunn County, ND",2008,"1,721","1,666",55,3.2
"Eddy County, ND",2008,"1,225","1,157",68,5.6
"Emmons County, ND",2008,"1,655","1,575",80,4.8
"Foster County, ND",2008,"1,737","1,685",52,3.0
"Golden Valley County, ND",2008,852,829,23,2.7
"Grand Forks County, ND",2008,"38,249","37,097","1,152",3.0
"Grant County, ND",2008,"1,178","1,130",48,4.1
"Griggs County, ND",2008,"1,253","1,222",31,2.5
"Hettinger County, ND",2008,"1,101","1,063",38,3.5
"Kidder County, ND",2008,"1,220","1,170",50,4.1
"LaMoure County, ND",2008,"2,198","2,126",72,3.3
"Logan County, ND",2008,907,875,32,3.5
"McHenry County, ND",2008,"2,684","2,547",137,5.1
"McIntosh County, ND",2008,"1,367","1,328",39,2.9
"McKenzie County, ND",2008,"3,056","2,982",74,2.4
"McLean County, ND",2008,"4,748","4,533",215,4.5
"Mercer County, ND",2008,"4,755","4,537",218,4.6
"Morton County, ND",2008,"14,734","14,219",515,3.5
"Mountrail County, ND",2008,"2,936","2,813",123,4.2
"Nelson County, ND",2008,"1,701","1,644",57,3.4
"Oliver County, ND",2008,"1,128","1,077",51,4.5
"Pembina County, ND",2008,"3,869","3,667",202,5.2
"Pierce County, ND",2008,"1,899","1,816",83,4.4
"Ramsey County, ND",2008,"5,735","5,519",216,3.8
"Ransom County, ND",2008,"3,039","2,930",109,3.6
"Renville County, ND",2008,"1,240","1,208",32,2.6
"Richland County, ND",2008,"8,806","8,463",343,3.9
"Rolette County, ND",2008,"4,924","4,453",471,9.6
"Sargent County, ND",2008,"2,192","2,090",102,4.7
"Sheridan County, ND",2008,633,607,26,4.1
"Sioux County, ND",2008,"1,282","1,214",68,5.3
"Slope County, ND",2008,747,737,10,1.3
"Stark County, ND",2008,"14,057","13,726",331,2.4
"Steele County, ND",2008,"1,148","1,123",25,2.2
"Stutsman County, ND",2008,"11,539","11,201",338,2.9
"Towner County, ND",2008,"1,091","1,055",36,3.3
"Traill County, ND",2008,"4,092","3,956",136,3.3
"Walsh County, ND",2008,"5,584","5,340",244,4.4
"Ward County, ND",2008,"29,185","28,323",862,3.0
"Wells County, ND",2008,"2,074","1,984",90,4.3
"Williams County, ND",2008,"14,412","14,166",246,1.7
"Adams County, OH",2008,"13,198","11,976","1,222",9.3
"Allen County, OH",2008,"51,691","47,898","3,793",7.3
"Ashland County, OH",2008,"27,219","25,201","2,018",7.4
"Ashtabula County, OH",2008,"49,058","45,152","3,906",8.0
"Athens County, OH",2008,"30,811","28,767","2,044",6.6
"Auglaize County, OH",2008,"26,900","25,444","1,456",5.4
"Belmont County, OH",2008,"33,326","31,306","2,020",6.1
"Brown County, OH",2008,"21,780","20,129","1,651",7.6
"Butler County, OH",2008,"191,273","180,047","11,226",5.9
"Carroll County, OH",2008,"13,959","12,903","1,056",7.6
"Champaign County, OH",2008,"20,503","19,085","1,418",6.9
"Clark County, OH",2008,"71,150","66,425","4,725",6.6
"Clermont County, OH",2008,"106,669","100,424","6,245",5.9
"Clinton County, OH",2008,"23,433","22,026","1,407",6.0
"Columbiana County, OH",2008,"52,983","49,168","3,815",7.2
"Coshocton County, OH",2008,"17,189","15,724","1,465",8.5
"Crawford County, OH",2008,"21,937","20,047","1,890",8.6
"Cuyahoga County, OH",2008,"652,898","606,797","46,101",7.1
"Darke County, OH",2008,"27,956","26,164","1,792",6.4
"Defiance County, OH",2008,"20,667","19,128","1,539",7.4
"Delaware County, OH",2008,"92,268","88,009","4,259",4.6
"Erie County, OH",2008,"42,713","39,610","3,103",7.3
"Fairfield County, OH",2008,"75,621","71,317","4,304",5.7
"Fayette County, OH",2008,"16,970","16,005",965,5.7
"Franklin County, OH",2008,"625,678","591,339","34,339",5.5
"Fulton County, OH",2008,"23,229","21,345","1,884",8.1
"Gallia County, OH",2008,"14,150","13,227",923,6.5
"Geauga County, OH",2008,"51,790","48,847","2,943",5.7
"Greene County, OH",2008,"81,095","76,103","4,992",6.2
"Guernsey County, OH",2008,"19,608","17,930","1,678",8.6
"Hamilton County, OH",2008,"439,452","414,718","24,734",5.6
"Hancock County, OH",2008,"40,907","38,512","2,395",5.9
"Hardin County, OH",2008,"15,049","13,973","1,076",7.1
"Harrison County, OH",2008,"7,349","6,823",526,7.2
"Henry County, OH",2008,"15,713","14,469","1,244",7.9
"Highland County, OH",2008,"20,674","19,149","1,525",7.4
"Hocking County, OH",2008,"14,245","13,163","1,082",7.6
"Holmes County, OH",2008,"19,449","18,500",949,4.9
"Huron County, OH",2008,"29,053","26,223","2,830",9.7
"Jackson County, OH",2008,"15,280","13,990","1,290",8.4
"Jefferson County, OH",2008,"32,893","30,589","2,304",7.0
"Knox County, OH",2008,"30,232","28,301","1,931",6.4
"Lake County, OH",2008,"135,002","126,848","8,154",6.0
"Lawrence County, OH",2008,"29,433","27,836","1,597",5.4
"Licking County, OH",2008,"83,782","78,614","5,168",6.2
"Logan County, OH",2008,"25,328","23,809","1,519",6.0
