County Name/State Abbreviation,Year,total,number_employed,number_unemployed,unemployed_rate
"Christian County, MO",2008,"40,227","38,216","2,011",5.0
"Clark County, MO",2008,"3,572","3,354",218,6.1
"Clay County, MO",2008,"117,582","111,564","6,018",5.1
"Clinton County, MO",2008,"10,412","9,799",613,5.9
"Cole County, MO",2008,"40,349","38,549","1,800",4.5
"Cooper County, MO",2008,"9,277","8,748",529,5.7
"Crawford County, MO",2008,"12,157","11,179",978,8.0
"Dade County, MO",2008,"3,592","3,368",224,6.2
"Dallas County, MO",2008,"7,439","6,878",561,7.5
"Daviess County, MO",2008,"3,945","3,736",209,5.3
"DeKalb County, MO",2008,"5,196","4,872",324,6.2
"Dent County, MO",2008,"6,860","6,339",521,7.6
"Douglas County, MO",2008,"6,074","5,665",409,6.7
"Dunklin County, MO",2008,"14,386","13,255","1,131",7.9
"Franklin County, MO",2008,"53,174","49,224","3,950",7.4
"Gasconade County, MO",2008,"7,937","7,336",601,7.6
"Gentry County, MO",2008,"3,503","3,347",156,4.5
"Greene County, MO",2008,"140,227","133,151","7,076",5.0
"Grundy County, MO",2008,"4,959","4,685",274,5.5
"Harrison County, MO",2008,"4,598","4,374",224,4.9
"Henry County, MO",2008,"10,964","10,235",729,6.6
"Hickory County, MO",2008,"3,472","3,139",333,9.6
"Holt County, MO",2008,"2,776","2,638",138,5.0
"Howard County, MO",2008,"5,134","4,830",304,5.9
"Howell County, MO",2008,"19,973","18,850","1,123",5.6
"Iron County, MO",2008,"5,766","5,442",324,5.6
"Jackson County, MO",2008,"335,816","312,730","23,086",6.9
"Jasper County, MO",2008,"57,062","54,094","2,968",5.2
"Jefferson County, MO",2008,"117,034","109,080","7,954",6.8
"Johnson County, MO",2008,"26,649","25,250","1,399",5.2
"Knox County, MO",2008,"2,374","2,264",110,4.6
"Laclede County, MO",2008,"17,978","16,624","1,354",7.5
"Lafayette County, MO",2008,"16,472","15,471","1,001",6.1
"Lawrence County, MO",2008,"19,522","18,584",938,4.8
"Lewis County, MO",2008,"5,559","5,293",266,4.8
"Lincoln County, MO",2008,"27,176","25,063","2,113",7.8
"Linn County, MO",2008,"6,568","6,116",452,6.9
"Livingston County, MO",2008,"7,146","6,780",366,5.1
"McDonald County, MO",2008,"11,100","10,559",541,4.9
"Macon County, MO",2008,"7,897","7,429",468,5.9
"Madison County, MO",2008,"6,210","5,834",376,6.1
"Maries County, MO",2008,"4,816","4,517",299,6.2
"Marion County, MO",2008,"14,792","13,964",828,5.6
"Mercer County, MO",2008,"1,845","1,757",88,4.8
"Miller County, MO",2008,"13,269","12,384",885,6.7
"Mississippi County, MO",2008,"5,854","5,432",422,7.2
"Moniteau County, MO",2008,"7,464","7,056",408,5.5
"Monroe County, MO",2008,"4,369","4,067",302,6.9
"Montgomery County, MO",2008,"6,161","5,722",439,7.1
"Morgan County, MO",2008,"9,400","8,696",704,7.5
"New Madrid County, MO",2008,"8,972","8,336",636,7.1
"Newton County, MO",2008,"27,783","26,256","1,527",5.5
"Nodaway County, MO",2008,"12,950","12,408",542,4.2
"Oregon County, MO",2008,"4,601","4,334",267,5.8
"Osage County, MO",2008,"7,452","6,997",455,6.1
"Ozark County, MO",2008,"4,435","4,168",267,6.0
"Pemiscot County, MO",2008,"8,301","7,690",611,7.4
"Perry County, MO",2008,"10,503","10,019",484,4.6
"Pettis County, MO",2008,"21,367","20,051","1,316",6.2
"Phelps County, MO",2008,"22,351","21,051","1,300",5.8
"Pike County, MO",2008,"9,263","8,736",527,5.7
"Platte County, MO",2008,"48,935","46,599","2,336",4.8
"Polk County, MO",2008,"14,176","13,320",856,6.0
"Pulaski County, MO",2008,"19,789","18,663","1,126",5.7
"Putnam County, MO",2008,"2,521","2,386",135,5.4
"Ralls County, MO",2008,"5,728","5,424",304,5.3
"Randolph County, MO",2008,"13,304","12,500",804,6.0
"Ray County, MO",2008,"11,403","10,683",720,6.3
"Reynolds County, MO",2008,"2,704","2,507",197,7.3
"Ripley County, MO",2008,"6,770","6,317",453,6.7
"St. Charles County, MO",2008,"195,164","184,594","10,570",5.4
"St. Clair County, MO",2008,"4,277","3,977",300,7.0
"Ste. Genevieve County, MO",2008,"10,140","9,547",593,5.8
"St. Francois County, MO",2008,"30,324","28,194","2,130",7.0
"St. Louis County, MO",2008,"521,555","490,271","31,284",6.0
"Saline County, MO",2008,"11,543","10,888",655,5.7
"Schuyler County, MO",2008,"2,177","2,038",139,6.4
